experiment,dataset,student_base,teacher_family,teacher_model,student_training,seed,auroc,tpr_at_1pct_fpr,fpr_zero,ci_low,ci_high,n_students,source_run_id,access,teacher_short,student_short,row_id
cross_base_task,GSM8K,Mistral-v0.3-7B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.952,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Qwen teacher,Mistral student,Qwen teacher / Mistral student / cross-base
cross_base_task,MATH,Mistral-v0.3-7B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.944,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Qwen teacher,Mistral student,Qwen teacher / Mistral student / cross-base
cross_base_task,BBH,Mistral-v0.3-7B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.938,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Qwen teacher,Mistral student,Qwen teacher / Mistral student / cross-base
cross_base_task,ARC-Challenge,Mistral-v0.3-7B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.929,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Qwen teacher,Mistral student,Qwen teacher / Mistral student / cross-base
cross_base_task,MBPP,Mistral-v0.3-7B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.918,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Qwen teacher,Mistral student,Qwen teacher / Mistral student / cross-base
cross_base_task,GSM8K,Llama-3.1-8B,Llama-3.1-70B,Llama-3.1-70B,same_base,aggregate_5_student_seeds,0.998,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,same-base,Llama teacher,Llama student,Llama teacher / Llama student / same-base
cross_base_task,MATH,Llama-3.1-8B,Llama-3.1-70B,Llama-3.1-70B,same_base,aggregate_5_student_seeds,0.995,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,same-base,Llama teacher,Llama student,Llama teacher / Llama student / same-base
cross_base_task,BBH,Llama-3.1-8B,Llama-3.1-70B,Llama-3.1-70B,same_base,aggregate_5_student_seeds,0.989,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,same-base,Llama teacher,Llama student,Llama teacher / Llama student / same-base
cross_base_task,ARC-Challenge,Llama-3.1-8B,Llama-3.1-70B,Llama-3.1-70B,same_base,aggregate_5_student_seeds,0.981,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,same-base,Llama teacher,Llama student,Llama teacher / Llama student / same-base
cross_base_task,MBPP,Llama-3.1-8B,Llama-3.1-70B,Llama-3.1-70B,same_base,aggregate_5_student_seeds,0.974,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,same-base,Llama teacher,Llama student,Llama teacher / Llama student / same-base
cross_base_task,GSM8K,Qwen2.5-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.949,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Llama teacher,Qwen student,Llama teacher / Qwen student / cross-base
cross_base_task,MATH,Qwen2.5-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.941,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Llama teacher,Qwen student,Llama teacher / Qwen student / cross-base
cross_base_task,BBH,Qwen2.5-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.935,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Llama teacher,Qwen student,Llama teacher / Qwen student / cross-base
cross_base_task,ARC-Challenge,Qwen2.5-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.928,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Llama teacher,Qwen student,Llama teacher / Qwen student / cross-base
cross_base_task,MBPP,Qwen2.5-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.919,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Llama teacher,Qwen student,Llama teacher / Qwen student / cross-base
cross_base_task,GSM8K,Mistral-v0.3-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.945,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Llama teacher,Mistral student,Llama teacher / Mistral student / cross-base
cross_base_task,MATH,Mistral-v0.3-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.936,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Llama teacher,Mistral student,Llama teacher / Mistral student / cross-base
cross_base_task,BBH,Mistral-v0.3-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.93,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Llama teacher,Mistral student,Llama teacher / Mistral student / cross-base
cross_base_task,ARC-Challenge,Mistral-v0.3-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.921,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Llama teacher,Mistral student,Llama teacher / Mistral student / cross-base
cross_base_task,MBPP,Mistral-v0.3-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.912,NA,NA,NA,NA,5,pi_locked_result_summary_20260623,cross-base,Llama teacher,Mistral student,Llama teacher / Mistral student / cross-base
