experiment,condition,dataset,student_id,seed,abstention_rate,false_attribution_rate,closed_set_accuracy,n_traces,provenance_note
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,ctrlA_base_s1,1,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,ctrlA_base_s2,2,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,ctrlC_ref,0,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,ctrlC_ref_s1,1,0.995,0.005,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,ctrlC_ref_s2,2,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,ctrlInst_qwen,0,0.285,0.59,0.17482517482517482,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,ctrlInst_qwen_s1,1,0.365,0.45,0.29133858267716534,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,ctrlInst_qwen_s2,2,0.31,0.48,0.30434782608695654,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,ctrlLlama_r1,0,0.52,0.195,0.59375,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,ctrlLlama_r1_s1,1,0.55,0.15,0.6666666666666666,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,ctrlLlama_r1_s2,2,0.48,0.22,0.5769230769230769,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,suspect,0,0.545,0.145,0.6813186813186813,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,suspect_s1,1,0.54,0.185,0.5978260869565217,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,suspect_s2,2,0.53,0.21,0.5531914893617021,200,derived_from_existing_scored_matrix_without_new_inference
