experiment,dataset,task,student_base,student_lineage,teacher_family,condition,strata,n_students,student_unit,metric,estimate,ci_low,ci_high,student_mean_max_stat,control_mean_max_stat,effect_size_margin,permutation_p,permutation_p_value,threshold_split,heldout_fpr,source_run_id,source_attachment
student_level_ci,ARC-Challenge,ARC-Challenge,Qwen2.5-7B,Qwen2.5-7B,Qwen,same_family_vs_ctrlc,Same-Family vs. ctrlC,5,independent_student_summary,effect_size_margin,1.011,0.963,1.059,0.363,-0.648,1.011,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,ARC-Challenge,ARC-Challenge,Llama-3.1-8B,Llama-3.1-8B,Llama,all_distilled_vs_ctrlc,All Distilled vs. ctrlC,5,independent_student_summary,effect_size_margin,0.999,0.954,1.044,0.351,-0.648,0.999,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,ARC-Challenge,ARC-Challenge,Llama-3.1-8B,Llama-3.1-8B,Llama,cross_style_vs_ctrlc,Cross-Style vs. ctrlC,5,independent_student_summary,effect_size_margin,0.994,0.945,1.043,0.346,-0.648,0.994,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,ARC-Challenge,ARC-Challenge,Llama-3.1-8B,Llama-3.1-8B,Llama,same_family_vs_ctrlc,Same-Family vs. ctrlC,5,independent_student_summary,effect_size_margin,1.01,0.962,1.058,0.362,-0.648,1.01,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MBPP,MBPP,Qwen2.5-7B,Qwen2.5-7B,Qwen,all_distilled_vs_ctrlc,All Distilled vs. ctrlC,5,independent_student_summary,effect_size_margin,0.987,0.942,1.032,0.339,-0.648,0.987,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MBPP,MBPP,Qwen2.5-7B,Qwen2.5-7B,Qwen,cross_style_vs_ctrlc,Cross-Style vs. ctrlC,5,independent_student_summary,effect_size_margin,0.987,0.938,1.036,0.339,-0.648,0.987,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MBPP,MBPP,Qwen2.5-7B,Qwen2.5-7B,Qwen,same_family_vs_ctrlc,Same-Family vs. ctrlC,5,independent_student_summary,effect_size_margin,1.0,0.952,1.048,0.352,-0.648,1.0,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MBPP,MBPP,Llama-3.1-8B,Llama-3.1-8B,Llama,all_distilled_vs_ctrlc,All Distilled vs. ctrlC,5,independent_student_summary,effect_size_margin,0.987,0.942,1.032,0.339,-0.648,0.987,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MBPP,MBPP,Llama-3.1-8B,Llama-3.1-8B,Llama,cross_style_vs_ctrlc,Cross-Style vs. ctrlC,5,independent_student_summary,effect_size_margin,0.984,0.935,1.033,0.336,-0.648,0.984,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MBPP,MBPP,Llama-3.1-8B,Llama-3.1-8B,Llama,same_family_vs_ctrlc,Same-Family vs. ctrlC,5,independent_student_summary,effect_size_margin,0.997,0.949,1.045,0.349,-0.648,0.997,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MMLU,MMLU,Qwen2.5-7B,Qwen2.5-7B,Qwen,all_distilled_vs_ctrlc,All Distilled vs. ctrlC,5,independent_student_summary,effect_size_margin,0.981,0.936,1.026,0.333,-0.648,0.981,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MMLU,MMLU,Qwen2.5-7B,Qwen2.5-7B,Qwen,cross_style_vs_ctrlc,Cross-Style vs. ctrlC,5,independent_student_summary,effect_size_margin,0.976,0.927,1.025,0.328,-0.648,0.976,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MMLU,MMLU,Qwen2.5-7B,Qwen2.5-7B,Qwen,same_family_vs_ctrlc,Same-Family vs. ctrlC,5,independent_student_summary,effect_size_margin,0.992,0.944,1.04,0.344,-0.648,0.992,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MMLU,MMLU,Llama-3.1-8B,Llama-3.1-8B,Llama,all_distilled_vs_ctrlc,All Distilled vs. ctrlC,5,independent_student_summary,effect_size_margin,0.98,0.935,1.025,0.332,-0.648,0.98,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MMLU,MMLU,Llama-3.1-8B,Llama-3.1-8B,Llama,cross_style_vs_ctrlc,Cross-Style vs. ctrlC,5,independent_student_summary,effect_size_margin,0.973,0.924,1.022,0.325,-0.648,0.973,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MMLU,MMLU,Llama-3.1-8B,Llama-3.1-8B,Llama,same_family_vs_ctrlc,Same-Family vs. ctrlC,5,independent_student_summary,effect_size_margin,0.988,0.94,1.036,0.34,-0.648,0.988,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
