figure	panel	panel_claim	visual_encoding	primary_source	derived_source	submission_status
Figure 4	e	AUROC remains high across the evaluated teacher-temperature and student learning-rate settings.	faceted hyperparameter trajectory	figures/source/w08_hyperparameter_robustness.csv	figures/source_derived/figure4_tifs_hyperparameter_profile.csv	include
Figure 4	f	Worst-case floors summarize the weakest tested cross-dataset, hyperparameter, and reasoning-depth settings without uncertainty intervals.	floor dot-range plot	figures/source/w08_cross_dataset_generalizability.csv; figures/source/w08_hyperparameter_robustness.csv; figures/source/w08_reasoning_step_depth.csv	figures/source_derived/figure4_tifs_operating_floors.csv	include
Figure 5	a	CML+MTCR retains operating separation across reported adaptive trace transformations on GSM8K and MATH.	adaptive stress dot-range plot	figures/source/w08_tifs_adaptive_attack_summary.csv	figures/source_derived/pi_lock_adaptive_for_plot.csv	include
Figure 5	b	Cross-base and cross-task transfer remains above the reported AUROC floor while exposing the hardest model/task cells.	cross-base/task heatmap	figures/source/w08_tifs_cross_base_task_matrix.csv	figures/source_derived/pi_lock_cross_base_for_plot.csv	include
Figure 5	c	Open-set decoy settings produce high abstention and low false attribution instead of forced source assignment.	open-set abstention/false-attribution paired bars	figures/source/w08_tifs_open_set_abstention_summary.csv	figures/source_derived/pi_lock_open_set_for_plot.csv	include
Figure 5	d	CML+MTCR keeps detection, same-family recovery, sibling attribution, and FPR control stronger than competing baselines.	baseline head-to-head Cleveland plot	figures/source/w08_tifs_baseline_head_to_head.csv	figures/source_derived/pi_lock_baseline_for_plot.csv	include
Figure 5	e	Student-level matched-margin confidence intervals remain positive across reported strata.	student-level confidence interval forest plot	figures/source/w08_tifs_student_level_ci.csv	figures/source_derived/pi_lock_student_ci_for_plot.csv	include
Figure 5	f	MTCR calibrated surplus remains positive across task views rather than being driven by one task.	MTCR task-profile strip plot	figures/source/w08_tifs_mtcr_task_profile_summary.csv	figures/source_derived/pi_lock_mtcr_for_plot.csv	include
Supplementary Figure 1	a	The matched reference is an operating gate; AUROC collapses under the human-reference fallback.	reference-gate AUROC dumbbell plot	results_90pt/summaries/base_mismatch_calibration_summary.csv	figures/source_derived/forensic_envelope_tifs_reference_gate.csv	supplement
Supplementary Figure 1	b	Absent-candidate triage exposes abstention and false-attribution behavior under withheld-candidate conditions.	absent-candidate min-max dot ranges	results_90pt/summaries/out_of_set_abstention_summary.csv	figures/source_derived/forensic_envelope_tifs_absent_candidate.csv	supplement
Supplementary Figure 1	c	The fallback reference creates false alarms at the zero threshold on the same scored matrices.	reference-gate FPR dumbbell plot	results_90pt/summaries/base_mismatch_calibration_summary.csv	figures/source_derived/forensic_envelope_tifs_reference_gate.csv	supplement
Supplementary Figure 1	d	Cross-family stress remains lower than within-family point estimates, even after MTCR.	cross-family stress range plot	results_90pt/summaries/cross_base_student_matrix.csv	figures/source_derived/forensic_envelope_tifs_cross_family.csv	supplement
Supplementary Figure 2	a	CML and CML+MTCR are the only compared methods that jointly preserve high detection, same-family recovery, and sibling attribution.	baseline metric heatmap	figures/source/w08_tifs_baseline_head_to_head.csv	figures/source_derived/supp_baseline_summary.csv	supplement
Supplementary Figure 2	b	CML and CML+MTCR suppress zero-threshold false alarms compared with alternative provenance baselines.	FPR lollipop plot	figures/source/w08_tifs_baseline_head_to_head.csv	figures/source_derived/supp_baseline_summary.csv	supplement
Supplementary Figure 2	c	Absent-candidate settings route unsupported cases toward abstention instead of forced attribution.	open-set triage rate plot	figures/source/w08_tifs_open_set_abstention_summary.csv	figures/source_derived/supp_open_set_summary.csv	supplement
Supplementary Figure 2	d	Student-level distilled-control margins remain positive across evaluated task/base strata.	student-level confidence-interval forest plot	figures/source/w08_tifs_student_level_ci.csv	figures/source_derived/supp_student_effect_size_ci.csv	supplement
Supplementary Figure 3	a	CML+MTCR remains high across evaluated adaptive trace transformations where base-relative surplus fails.	adaptive stress AUROC heatmap	figures/source/w08_tifs_adaptive_attack_summary.csv	figures/source_derived/supp_adaptive_attack_summary.csv	supplement
Supplementary Figure 3	b	CML+MTCR maintains high TPR at low false-positive operation across adaptive transformations.	low-FPR operating scatter	figures/source/w08_tifs_adaptive_attack_summary.csv	figures/source_derived/supp_adaptive_attack_summary.csv	supplement
Supplementary Figure 3	c	Cross-base and cross-task AUROC remains above chance while staying below same-base rows.	cross-task AUROC heatmap	figures/source/w08_tifs_cross_base_task_matrix.csv	figures/source_derived/supp_cross_base_task_heatmap.csv	supplement
Supplementary Figure 3	d	MTCR task-view profiles keep the true teacher separated from sibling and surplus-margin profiles.	MTCR task-profile line plot	figures/source/w08_tifs_mtcr_task_profile_summary.csv	figures/source_derived/supp_mtcr_task_profile.csv	supplement
